n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,lstm_1_energy,lstm_1_cos,dropout_lstm_energy,dropout_lstm_cos,shared_gap_energy,shared_gap_cos,lstm_proj_energy,lstm_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,54028,0.22511666666666666,94.72878911714197,5.492621651969815e-10,0.1323442163596691,1.360924090830485,,,0.018326899081468583,0.39348974569638573,0.018326899081468583,0.39348974569638573,0.0016622239451234539,0.39348974569638573,0.002788300566996137,0.4761996680100759,0.25294637049039204,0.9956935912768046,0.03181239647070567,0.513017852306366,0.09501978652874629,0.9276767303148905,lstm,barrage,6.0,2
240000,91329,0.3805375,102.70060380505454,6.240340510413445e-10,0.06973617218380272,0.5832197283426921,,,0.03270426093141238,0.20674121610075236,0.03270426093141238,0.20674121610075236,0.003380177188788851,0.20674121610075236,0.0027754424904783566,0.28885938600699107,0.25180270247459413,0.9948176806767781,0.07531022047201792,0.4584534604549408,0.11259228453636169,0.8536284883817037,lstm,barrage,10.0,2
240000,667,0.0027791666666666668,57.4557660907845,5.343375306439935e-10,0.6123995436420661,2.918399100748698,,,0.005775580069671074,0.9886399567921956,0.005775580069671074,0.9886399567921956,0.0011714248440538844,0.9886399567921956,0.01192023653537035,0.992795112768809,0.2571511696179708,0.9994545715649923,0.0037602559647212427,0.8731641448338826,0.08723250183661779,0.9979284583727519,lstm,barrage,-10.0,3
240000,1285,0.005354166666666667,66.80986798832404,5.345134381141325e-10,0.5201022465277465,2.8885827829996744,,,0.00626566149070859,0.965837106068929,0.00626566149070859,0.965837106068929,0.0011212668566033244,0.965837106068929,0.01054794683655103,0.9777560232480367,0.2565442531903585,0.9988778627713522,0.004850438201179107,0.787232746442159,0.08712153930664063,0.9947896776199341,lstm,barrage,-6.0,3
240000,4157,0.017320833333333334,77.80686272373545,5.349375262963139e-10,0.38532797634488003,2.7592499369303387,,,0.007537595238784949,0.8867536390622457,0.007537595238784949,0.8867536390622457,0.0010511396534120044,0.8867536390622457,0.008010640443861485,0.9175970296859741,0.25554109336535136,0.9979582215944925,0.0075902900263667104,0.685170471906662,0.08725326697826385,0.9867097102801005,lstm,barrage,-2.0,3
240000,18111,0.0754625,87.22371464541514,5.366426751780609e-10,0.24214221575266393,2.278202389017741,,,0.010791039997835953,0.6753769392172495,0.010791039997835953,0.6753769392172495,0.0010898402970905105,0.6753769392172495,0.0048249255339304605,0.740506958882014,0.2543011464913686,0.9967896116574605,0.014474765083690484,0.5866608737309774,0.08884577170610428,0.9674243464469909,lstm,barrage,2.0,3
240000,53982,0.224925,94.62825649647317,5.489524514480562e-10,0.13332031937279135,1.360517542775472,,,0.018327034084002176,0.39376709870497384,0.018327034084002176,0.39376709870497384,0.0016633104275912047,0.39376709870497384,0.0027910625173399846,0.4784173036019007,0.25306039010683695,0.995628111521403,0.03177139648497105,0.5080217614968617,0.09504019341468811,0.928172416528066,lstm,barrage,6.0,3
240000,90880,0.37866666666666665,102.64162811094897,6.224911768718173e-10,0.06982242300168875,0.5857212985992432,,,0.03270268266995748,0.20827095222473144,0.03270268266995748,0.20827095222473144,0.0033826746967931588,0.20827095222473144,0.0027961343172937633,0.28937283635139466,0.25190872554779054,0.9947234958012898,0.0752242933233579,0.4533118901252747,0.11259637281099956,0.854420820236206,lstm,barrage,10.0,3
240000,582,0.002425,57.29637551900352,5.343581969840468e-10,0.6141647845111845,2.9194564458211265,,,0.005775918106983105,0.9889659063021342,0.005775918106983105,0.9889659063021342,0.001171158270786206,0.9889659063021342,0.011919693895677725,0.9931407984097799,0.257110334444046,0.9994716699918111,0.0037638276608039935,0.8730806353886922,0.0872207288146019,0.9979173386891683,lstm,barrage,-10.0,4
240000,1147,0.004779166666666667,66.62604674387732,5.345705753879287e-10,0.5224187865103683,2.8896509216308592,,,0.006266209707160791,0.9667847536404928,0.006266209707160791,0.9667847536404928,0.0011209983485440413,0.9667847536404928,0.010548796514670054,0.9782275751431783,0.25648089420000714,0.9989062794049581,0.004857091977447272,0.7879295701980591,0.08710418269236883,0.9947414755821228,lstm,barrage,-6.0,4
240000,4095,0.0170625,77.63489495289258,5.350111336305785e-10,0.3876675953990229,2.7599739685058595,,,0.00753814668605725,0.8890511622428894,0.00753814668605725,0.8890511622428894,0.0010509411889438828,0.8890511622428894,0.008013909375667571,0.9176764880816142,0.25544851190249124,0.9979986314773559,0.007603329677383105,0.6873225370248158,0.08722981307506561,0.9865502196947734,lstm,barrage,-2.0,4
240000,18223,0.07592916666666667,87.13574517676047,5.368091065868996e-10,0.24327307312169585,2.2788012222290037,,,0.010790777843693892,0.6770080362161001,0.010790777843693892,0.6770080362161001,0.0010895264278476438,0.6770080362161001,0.004828411333014568,0.7368809361457824,0.2541824273427327,0.9968495373725891,0.014501696827510993,0.5902002719243368,0.08881972207625707,0.9670742624600729,lstm,barrage,2.0,4
240000,53713,0.22380416666666667,94.59487409105174,5.492869812004383e-10,0.13415510671972675,1.3652388473510741,,,0.018325940112272898,0.39415991280476254,0.018325940112272898,0.39415991280476254,0.0016628266787156462,0.39415991280476254,0.002795736283188065,0.47486010003089907,0.25293896420796713,0.9957225255966187,0.03182981733083725,0.5124958768685659,0.09502658095757166,0.92743998559316,lstm,barrage,6.0,4
240000,90831,0.3784625,102.66109564378326,6.23323910102195e-10,0.07002238581242012,0.5884078030904134,,,0.03270244924426079,0.2084274733811617,0.03270244924426079,0.2084274733811617,0.0033821151069055003,0.2084274733811617,0.0028002510945002237,0.2868351576725642,0.25180195960998536,0.9948154214223226,0.07535641486644745,0.4581528395016988,0.11261771668990453,0.8528853427569072,lstm,barrage,10.0,4
240000,885,0.0036875,55.28779475596707,5.342826487250976e-10,0.6312625734862154,2.910727317810059,,,0.005736191499481598,0.9867542905807495,0.005736191499481598,0.9867542905807495,0.0011648735660438735,0.9867542905807495,0.011579559847215811,0.9902566237449646,0.2566338826974233,0.999573430220286,0.0036370082539816696,0.8903170285224915,0.08692485160827637,0.9981672941843669,lstm,partial_band,-10.0,0
240000,3356,0.013983333333333334,63.75783683456131,5.344400436498639e-10,0.5500453846586383,2.829431246439616,,,0.006186400130639474,0.9437444543838501,0.006186400130639474,0.9437444543838501,0.0011278343207513292,0.9437444543838501,0.00998989433646202,0.9576182983716329,0.2555507003466288,0.9990981492996216,0.00453838835246861,0.8144038933118184,0.08652523888349534,0.994910715897878,lstm,partial_band,-6.0,0
240000,16862,0.07025833333333334,75.11555625442956,5.349482803267436e-10,0.4194196551619347,2.455773878733317,,,0.007430401075879733,0.7839098047415416,0.007430401075879733,0.7839098047415416,0.0011760475687061748,0.7839098047415416,0.007951506721476714,0.8374825703303019,0.2538599090576172,0.9983275299072265,0.00680254842042923,0.7208655743598938,0.08637317266464234,0.9859979473749797,lstm,partial_band,-2.0,0
240000,65740,0.27391666666666664,86.5166172365102,5.37144435913039e-10,0.2631127266309739,1.3318288447062174,,,0.010785000487665335,0.4775880332787832,0.010785000487665335,0.4775880332787832,0.001770986712537706,0.4775880332787832,0.008235578792790571,0.5914989858468374,0.25163934059143067,0.9974386558532715,0.01248985430598259,0.6249524625142415,0.08808250754674275,0.9662308909098307,lstm,partial_band,2.0,0
240000,113705,0.4737708333333333,95.8816957822654,5.492378653849849e-10,0.13725465403025658,0.22516455862522125,,,0.018623112259308496,0.21341043175260227,0.018623112259308496,0.21341043175260227,0.004089909433821837,0.21341043175260227,0.016950393572449683,0.3924222871462504,0.24904916919867198,0.9967461754480997,0.026775709491968155,0.5421919233004252,0.09546835962931315,0.9257763544718425,lstm,partial_band,6.0,0
240000,119886,0.499525,105.53739313728545,6.211284921581572e-10,0.06673770167764362,0.014802173801263174,,,0.03324585530757904,0.09603176369269689,0.03324585530757904,0.09603176369269689,0.009393044091264407,0.09603176369269689,0.0404136428018411,0.33276738023757935,0.24646267182826995,0.996163494904836,0.06266013859510422,0.4804246874650319,0.11569771986802418,0.8480930455525716,lstm,partial_band,10.0,0
