n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,pool_projection_energy,pool_projection_cos,attn_weights_energy,attn_weights_cos,attn_pool_energy,attn_pool_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,119984,0.49993333333333334,90.70470001959058,5.382432828424611e-10,0.2398950923185222,-0.02313593351840973,4.455415036469489,0.030365238253275553,0.018993247122565907,0.9537035051981608,0.022421455585956575,0.801411328236262,0.09229873965183893,0.7252326087156932,0.00013170131055327753,,0.06551630799372991,0.6009279901186625,0.2215130346218745,0.8984620796839397,0.020798280575871467,0.6227008706728617,0.08999518800576528,0.8140543696085611,conv1d,cw,2.0,3
240000,120000,0.5,98.4318711824053,5.421177152926605e-10,0.13131227758551717,-0.024690130184094113,4.403384222845458,0.033434863917032875,0.03663823564052582,0.9297250151634217,0.04857356800238291,0.7353869088490804,0.22736571349302928,0.6907047746976217,0.00014267297736369073,,0.189984917195638,0.5651137229601542,0.19811847960948945,0.8443041458129883,0.04764889973004659,0.552331292629242,0.13020201880931853,0.6443270897865295,conv1d,cw,6.0,3
240000,120000,0.5,110.15815145427234,5.51260658699332e-10,0.051537294766823186,-0.015341748527685802,4.298844150425019,0.041099305335680646,0.08112881976366043,0.9135348480542501,0.11642417363325755,0.6990307803153992,0.5820074498812358,0.6741459849675496,0.0001675199813907966,,0.5239408845265706,0.5548469762802124,0.18672573220729827,0.8164561910629272,0.11509655859073004,0.4980464802583059,0.2505604522864024,0.48260259501139324,conv1d,cw,10.0,3
240000,4669,0.019454166666666668,56.70047907078663,5.344789492177468e-10,0.6162935388025709,2.708025100708008,4.452414765905332,0.03195838442246119,0.00808567631021142,0.9971640553474427,0.007615202789753675,0.9879554395675659,0.023207864238818487,0.9794309449195862,0.0001345228244472916,,0.011886430122454961,0.9874850284258525,0.2503967224836349,0.9835327291488647,0.0037686695732176306,0.8924419306119283,0.07559127709865571,0.9825201797485351,conv1d,cw,-10.0,4
240000,34117,0.14215416666666666,64.71682856529557,5.350200557682933e-10,0.5367584862415314,1.96889960454305,4.442713454971358,0.033797933801015215,0.009169882702082396,0.9899295214017232,0.008821471024801334,0.9537200059890747,0.029032822474837305,0.9230253167152405,0.00013715089387260378,,0.013903966963291168,0.9345840934117635,0.24911277922789254,0.9727832477887471,0.004868596793587009,0.8236610800425211,0.07627780987024307,0.9682083675066631,conv1d,cw,-6.0,4
240000,104101,0.43375416666666666,75.01764940155779,5.365634488712162e-10,0.42193873747540295,0.4392910053571065,4.425284178522949,0.036410904161135356,0.011898916785418987,0.971685286839803,0.012229900587101777,0.8742134273846944,0.04591351371606191,0.8235972980658214,0.00014150607558743408,,0.022836723984281222,0.7799239610830943,0.2432764847834905,0.9524527934392293,0.007631186294804017,0.7404613361358643,0.07835565131107966,0.9336462786992391,conv1d,cw,-2.0,4
240000,119833,0.49930416666666666,86.07718505990039,5.417812346786585e-10,0.2907375693024321,-0.005384915699561437,4.38293318596456,0.0390577955643336,0.018776021522283554,0.9420400821367899,0.021833911609649658,0.7789761783281962,0.09532425001859665,0.7523735381762187,0.0001505217876828586,,0.0613669774333636,0.6258092742760976,0.21619088784058887,0.9034606765111287,0.014570017600556215,0.6542097326914469,0.08460852472384771,0.8300231701533,conv1d,cw,2.0,4
240000,120000,0.5,94.29635020702814,5.525282626289361e-10,0.18281654581070386,-0.02576305796901385,4.261501771928754,0.0477911460240682,0.03612447499831518,0.9114904287656148,0.047874767114718754,0.714880448102951,0.2327373375415802,0.7236151328881582,0.00018020744395131865,,0.19820378755728404,0.5717849344412486,0.1802234575510025,0.852451204776764,0.03199881406525771,0.5769205111662546,0.12064857445955277,0.6489433488845825,conv1d,cw,6.0,4
240000,120000,0.5,100.51436587960343,5.7007440353287e-10,0.09935062619799741,-0.015834177792072295,4.008680790316345,0.06777800903320312,0.07992601690689723,0.8896522153218587,0.11560030421018601,0.6819485759735108,0.5907637884140015,0.710849302927653,0.00025486369212158024,,0.6103163354237874,0.5548528705437978,0.1697470382610957,0.8358774615923563,0.07577676577568054,0.5158673223654429,0.2529777785301208,0.4754895502726237,conv1d,cw,10.0,4
240000,809,0.0033708333333333333,57.69834133782133,5.341131688577326e-10,0.6085833335261751,2.837979348754883,4.459339479368514,0.03147222588459651,0.008108684599399566,0.9977412536938985,0.007356611826270819,0.9958047285079956,0.019890943472584088,0.9967943312327067,0.00013292685439034055,,0.01044720421185096,0.997087733109792,0.2518844879627228,0.9889347629547119,0.003763053418944279,0.8733812743822733,0.07560251401662826,0.9877740197181701,conv1d,barrage,-10.0,0
240000,1526,0.006358333333333333,66.76000698995847,5.341702181975538e-10,0.5170536410331914,2.795867291768392,4.4552927645513245,0.03279549312591553,0.009235700691491365,0.9934970939954122,0.008105453727891048,0.986460797627767,0.020396254747112593,0.9901855597496033,0.0001341977747467657,,0.009815883226692676,0.9902686411539714,0.2522283385117849,0.9841974925994873,0.004855901374171178,0.7876098265647888,0.07599808172782262,0.9803831834793091,conv1d,barrage,-6.0,0
