2026-09-25 11:57:11 | src.experiments.pipeline       | INFO   | Split 'val': 70000 samples
2026-09-25 11:57:15 | src.data.data_loader           | INFO   | dataset built: n=105000, batch_size=128, feature_mode=iq, shuffle=True, seed=42
2026-09-25 11:57:15 | src.data.data_loader           | INFO   | dataset built: n=70000, batch_size=128, feature_mode=iq, shuffle=False, seed=42
2026-09-25 11:57:15 | __main__                       | INFO   | Architecture: conv1d
2026-09-25 11:57:15 | src.experiments.pipeline       | INFO   | build_model 'conv1d': model seed applied = 21 (from model.seeds.conv1d, dataset seed stays 42)
2026-09-25 11:57:17 | src.models.heads               | INFO   | communication_head built: input_dim=64, units=128, M=2, params=8578
2026-09-25 11:57:17 | src.models.heads               | INFO   | sensing_head built: input_dim=227, units=32, output_units=2, params=7362
2026-09-25 11:57:19 | src.models.ultra_can           | INFO   | model 'dual_head_ultra_can' built: comm=8578 params, sensing=7362 params, TOTAL=26597 params
2026-09-25 11:57:19 | src.experiments.pipeline       | INFO   | Model 'dual_head_ultra_can' built: 26597 trainable parameters.
2026-09-25 11:57:19 | src.experiments.pipeline       | INFO   | Training for 30 epochs, lambda_mse=2.0000
2026-09-25 11:57:19 | src.training.trainer           | INFO   | Trainer initialized: lambda_mse = 2.0
2026-09-25 11:57:19 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0
2026-09-25 11:57:21 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-25 11:57:21 | src.training.trainer           | INFO   | Starting training: epochs=30, batch_size=128
2026-09-25 12:15:00 | root                           | INFO   | Logging configured: file=/content/drive/MyDrive/sezione_3/full/logs/runner.log level=INFO
2026-09-25 12:15:00 | __main__                       | INFO   | Mode: full
2026-09-25 12:15:00 | __main__                       | INFO   | Run root: /content/drive/MyDrive/sezione_3/full
2026-09-25 12:15:00 | __main__                       | INFO   | Models: ['conv1d', 'qkv']
2026-09-25 12:15:00 | __main__                       | INFO   | No dataset regeneration: False
2026-09-25 12:15:00 | __main__                       | INFO   | ================================================================================
2026-09-25 12:15:00 | __main__                       | INFO   | EXPERIMENT ber_vs_snr
2026-09-25 12:15:00 | __main__                       | INFO   | ================================================================================
2026-09-25 12:15:00 | __main__                       | INFO   | ber_vs_snr: scenarios limited to ['k3_doppler_full']
2026-09-25 12:15:00 | __main__                       | WARNING | --force: overwriting /content/drive/MyDrive/sezione_3/full/ber_vs_snr in place
2026-09-25 12:15:00 | __main__                       | INFO   | experiment_name = ber_vs_snr_full
2026-09-25 12:15:00 | __main__                       | INFO   | seed = 42
2026-09-25 12:15:00 | __main__                       | INFO   | lambda_mse = 2
2026-09-25 12:15:00 | __main__                       | INFO   | sequence_length = 100
2026-09-25 12:15:00 | __main__                       | INFO   | map_type = logistic / map_param = 3.9
2026-09-25 12:15:00 | __main__                       | INFO   | backbone_type = conv1d
2026-09-25 12:15:00 | __main__                       | INFO   | epochs = 30
