offset,ratio,n_peers,corange,target_hit,peer_false,fallback,abs_err,label_mode,guard_factor
25.0,1.3926519235073944,1,False,False,False,True,3.7861226201057434,exclude_with_fallback,1.0
20.0,3.6907337704067853,1,False,False,False,False,1.933650016784668,exclude_with_fallback,1.0
18.0,0.5163369621991903,1,False,False,False,False,16.714957892894745,exclude_with_fallback,1.0
-2.0,3.657724661042441,1,False,False,False,True,0.9854407012462616,exclude_with_fallback,1.0
25.0,0.5740446120565298,1,False,False,False,False,23.258463442325592,exclude_with_fallback,1.0
18.0,4.407105284832752,1,False,False,False,False,1.5598384737968445,exclude_with_fallback,1.0
0.0,2.6852703939870226,1,True,False,False,True,1.1762880310416222,exclude_with_fallback,1.0
16.0,1.4433231518661784,1,False,False,False,True,8.638182580471039,exclude_with_fallback,1.0
10.0,8.524372721649918,1,False,False,False,True,5.713967263698578,exclude_with_fallback,1.0
9.0,2.8439460663488765,1,False,True,False,False,0.3740735948085785,exclude_with_fallback,1.0
24.0,1.974834257036187,1,False,False,False,True,1.069591999053955,exclude_with_fallback,1.0
24.0,0.254692088436148,1,False,False,False,False,22.967746701091528,exclude_with_fallback,1.0
4.0,1.2909583937902946,1,False,True,False,False,0.22847852110862732,exclude_with_fallback,1.0
-6.0,11.961862010551014,1,False,False,False,True,0.9630289897322655,exclude_with_fallback,1.0
6.0,4.906831390565829,1,False,True,False,True,0.47513461112976074,exclude_with_fallback,1.0
23.0,1.642050287524622,1,False,True,False,False,0.3065606355667114,exclude_with_fallback,1.0
-7.0,12.09682026147541,1,False,False,False,True,0.8999520875513554,exclude_with_fallback,1.0
22.0,1.0865306483463135,1,False,False,False,True,8.917400300502777,exclude_with_fallback,1.0
24.0,0.4876248112090729,1,False,False,False,False,22.75628087669611,exclude_with_fallback,1.0
-4.0,4.152706522207059,1,False,False,False,True,2.299205645918846,exclude_with_fallback,1.0
20.0,1.1169300794757846,1,False,False,False,False,0.6102341413497925,exclude_with_fallback,1.0
26.0,0.7071750869805252,1,False,False,False,False,14.48888087272644,exclude_with_fallback,1.0
5.0,0.26232467085618305,1,False,False,False,False,4.083365935832262,exclude_with_fallback,1.0
17.0,2.207722318742887,1,False,False,False,False,0.7062683701515198,exclude_with_fallback,1.0
4.0,3.932634494634387,1,False,False,False,False,2.3469974994659424,exclude_with_fallback,1.0
8.0,10.31274486728443,1,False,True,False,True,0.46604639291763306,exclude_with_fallback,1.0
8.0,8.446899649187298,1,False,False,False,True,1.367010474205017,exclude_with_fallback,1.0
-1.0,5.048200207271606,1,False,False,True,True,1.0653291195631027,exclude_with_fallback,1.0
31.0,0.26080472472237126,1,False,False,False,False,30.132143303751945,exclude_with_fallback,1.0
12.0,4.456699535166156,1,False,True,False,True,0.24603396654129028,exclude_with_fallback,1.0
-2.0,5.532084279560778,1,False,False,False,False,1.2479055672883987,exclude_with_fallback,1.0
3.0,5.3059243482307785,1,False,False,False,False,4.426314353942871,exclude_with_fallback,1.0
0.0,9.740715742669353,1,True,False,False,True,0.979626014828682,exclude_with_fallback,1.0
7.0,0.321672576851928,1,False,False,False,False,6.135751187801361,exclude_with_fallback,1.0
10.0,8.19830118703512,1,False,False,False,False,4.221373349428177,exclude_with_fallback,1.0
7.0,13.948134241048061,1,False,True,False,True,0.3565491735935211,exclude_with_fallback,1.0
28.0,1.8805043016959946,1,False,False,False,True,23.021814227104187,exclude_with_fallback,1.0
7.0,0.3197105783830417,1,False,False,False,False,6.1430515348911285,exclude_with_fallback,1.0
27.0,6.717363775719197,1,False,True,False,True,0.05053889751434326,exclude_with_fallback,1.5
1.0,3.916349170109908,1,False,False,False,True,0.829038992524147,exclude_with_fallback,1.5
20.0,0.8984013870260406,1,False,False,False,False,11.06115910410881,exclude_with_fallback,1.5
12.0,0.32011748037310267,1,False,False,False,False,10.687865108251572,exclude_with_fallback,1.5
20.0,5.670875285240066,1,False,True,False,True,0.03357964754104614,exclude_with_fallback,1.5
-2.0,5.1625885239573,1,False,False,False,True,3.133832663297653,exclude_with_fallback,1.5
8.0,3.888759784752877,1,False,False,False,True,2.1012178659439087,exclude_with_fallback,1.5
10.0,4.650631459796107,1,False,False,False,True,2.4021638929843903,exclude_with_fallback,1.5
2.0,3.3746105223784713,1,False,False,False,True,1.4493698626756668,exclude_with_fallback,1.5
4.0,15.860578334512923,1,False,False,False,True,0.7236877083778381,exclude_with_fallback,1.5
-3.0,4.13784645255564,1,False,False,False,False,0.9269492588937283,exclude_with_fallback,1.5
18.0,2.383237237887188,1,False,False,False,False,8.101297676563263,exclude_with_fallback,1.5
29.0,1.1135417647297166,1,False,False,False,False,4.0622148513793945,exclude_with_fallback,1.5
27.0,1.5534171810924793,1,False,False,False,False,17.858870685100555,exclude_with_fallback,1.5
27.0,5.708183068799068,1,False,False,False,False,2.072594404220581,exclude_with_fallback,1.5
27.0,2.3024280362843714,1,False,False,False,False,1.15683114528656,exclude_with_fallback,1.5
9.0,0.2925543771500662,1,False,False,False,False,8.184929445385933,exclude_with_fallback,1.5
