2026-09-25 14:39:12 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 1/256 sensing elements outside [0,1] (min=-0.1295, max=0.9626) -> clamped
2026-09-25 14:39:12 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 2/512 sensing elements outside [0,1] (min=-0.1735, max=1.0596) -> clamped
2026-09-25 14:39:12 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 2/256 sensing elements outside [0,1] (min=-0.2455, max=1.0357) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 1/256 sensing elements outside [0,1] (min=0.2251, max=1.0041) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 6/512 sensing elements outside [0,1] (min=-0.0874, max=1.1339) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 4/512 sensing elements outside [0,1] (min=-0.0203, max=1.4156) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 1/256 sensing elements outside [0,1] (min=0.0125, max=1.0121) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 2/256 sensing elements outside [0,1] (min=-0.0671, max=1.0353) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 4/512 sensing elements outside [0,1] (min=0.0013, max=1.1247) -> clamped
2026-09-25 14:39:13 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 1/256 sensing elements outside [0,1] (min=0.0851, max=1.0297) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 5/512 sensing elements outside [0,1] (min=-0.0188, max=1.2917) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 5/512 sensing elements outside [0,1] (min=0.0143, max=1.1781) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 7/512 sensing elements outside [0,1] (min=-0.0940, max=1.0418) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 4/256 sensing elements outside [0,1] (min=-0.0901, max=1.0242) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:14 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=-2.0 dB | BER=0.47321
2026-09-25 14:39:14 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 3/256 sensing elements outside [0,1] (min=-0.2225, max=1.0650) -> clamped
2026-09-25 14:39:14 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 5/512 sensing elements outside [0,1] (min=-0.2792, max=1.0731) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 5/256 sensing elements outside [0,1] (min=-0.2742, max=1.0606) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 2/512 sensing elements outside [0,1] (min=0.0583, max=1.0060) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 7/512 sensing elements outside [0,1] (min=-0.2133, max=1.2129) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 6/512 sensing elements outside [0,1] (min=-0.0854, max=1.5329) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 3/256 sensing elements outside [0,1] (min=-0.0818, max=1.1591) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 4/512 sensing elements outside [0,1] (min=-0.1588, max=1.1168) -> clamped
2026-09-25 14:39:15 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 8/512 sensing elements outside [0,1] (min=-0.1043, max=1.1975) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 2/256 sensing elements outside [0,1] (min=0.0484, max=1.1149) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 5/512 sensing elements outside [0,1] (min=-0.1237, max=1.4141) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 5/512 sensing elements outside [0,1] (min=0.0125, max=1.2206) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 6/512 sensing elements outside [0,1] (min=-0.0939, max=1.0153) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 4/256 sensing elements outside [0,1] (min=-0.1320, max=1.0830) -> clamped
2026-09-25 14:39:16 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:16 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=0.0 dB | BER=0.50753
2026-09-25 14:39:16 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:16 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 5/512 sensing elements outside [0,1] (min=-0.3377, max=1.1789) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 6/512 sensing elements outside [0,1] (min=-0.3855, max=1.0966) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 11/512 sensing elements outside [0,1] (min=-0.2983, max=1.1484) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 5/512 sensing elements outside [0,1] (min=-0.0310, max=1.0957) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 9/512 sensing elements outside [0,1] (min=-0.3860, max=1.3102) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 9/512 sensing elements outside [0,1] (min=-0.1832, max=1.7020) -> clamped
2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 4/512 sensing elements outside [0,1] (min=-0.1978, max=1.3205) -> clamped
