2026-09-26 12:31:49 | src.data.data_loader           | INFO   | split 'train': 108 total samples, x shape=(108, 100), tau in [1.00, 5.00], f_d in [3.058e-07, 7.956e-05]
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | balancing verified: 36 samples for each of the 3 (SNR, K) combinations
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | Split 'train': 108 samples
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | split 'val': 60 total samples, x shape=(60, 100), tau in [1.00, 5.00], f_d in [9.167e-08, 7.927e-05]
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | balancing verified: 20 samples for each of the 3 (SNR, K) combinations
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | Split 'val': 60 samples
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | split 'test': 150 total samples, x shape=(150, 100), tau in [1.00, 5.00], f_d in [3.067e-07, 7.947e-05]
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | balancing verified: 50 samples for each of the 3 (SNR, K) combinations
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | Split 'test': 150 samples
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | dataset built: n=108, batch_size=32, feature_mode=iq, shuffle=True, seed=42
2026-09-26 12:31:49 | src.data.data_loader           | INFO   | dataset built: n=60, batch_size=32, feature_mode=iq, shuffle=False, seed=42
2026-09-26 12:31:49 | __main__                       | INFO   | Architecture: conv1d
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | build_model 'conv1d': model seed applied = 21 (from model.seeds.conv1d, dataset seed stays 42)
2026-09-26 12:31:49 | src.models.heads               | INFO   | communication_head built: input_dim=64, units=128, M=2, params=8578
2026-09-26 12:31:50 | src.models.heads               | INFO   | sensing_head built: input_dim=228, units=32, output_units=2, params=7394
2026-09-26 12:31:50 | src.models.ultra_can           | INFO   | model 'dual_head_ultra_can' built: comm=8578 params, sensing=7394 params, TOTAL=26629 params
2026-09-26 12:31:50 | src.experiments.pipeline       | INFO   | Model 'dual_head_ultra_can' built: 26629 trainable parameters.
2026-09-26 12:31:50 | src.experiments.pipeline       | INFO   | Training for 2 epochs, lambda_mse=2.0000
2026-09-26 12:31:50 | src.training.trainer           | INFO   | Sensing component weights: delay=1.000, f_doppler=1.000
2026-09-26 12:31:50 | src.training.trainer           | INFO   | Trainer initialized: lambda_mse = 2.0
2026-09-26 12:31:50 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0, sensing_component_weights=[1.0, 1.0]
2026-09-26 12:31:50 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-26 12:31:50 | src.training.trainer           | INFO   | Starting training: epochs=2, batch_size=32
2026-09-26 12:31:54 | src.training.trainer           | INFO   | History saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/logs/history.csv
2026-09-26 12:31:54 | src.training.trainer           | INFO   | Metadata saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/logs/run_metadata.json
2026-09-26 12:31:54 | src.training.trainer           | INFO   | Training completed in 2 epochs. Best val_loss = 1.084674, best loss = 1.037742
2026-09-26 12:31:54 | src.training.trainer           | INFO   | Best weights reloaded from results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/logs/best_weights.weights.h5 before evaluation/saving
2026-09-26 12:31:54 | src.evaluation.evaluator       | INFO   | Starting evaluation over 3 SNR points
2026-09-26 12:31:54 | src.evaluation.evaluator       | INFO   | Evaluation completed for 3 SNR points
2026-09-26 12:31:54 | src.experiments.pipeline       | INFO   | Metrics saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/metrics.csv
2026-09-26 12:31:54 | src.evaluation.evaluator       | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/plots/ber_vs_snr_dual_head_ultra_can.pdf
2026-09-26 12:31:54 | src.experiments.pipeline       | INFO   | BER vs SNR plot saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/plots/ber_vs_snr_dual_head_ultra_can.pdf
2026-09-26 12:31:54 | src.experiments.pipeline       | INFO   | Model saved to results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/best_model.keras
2026-09-26 12:31:54 | src.utils.config_loader        | INFO   | config snapshot saved: results/smoke2/fast/ber_vs_snr/iod_peers/conv1d/logs/config_used.yaml
2026-09-26 12:31:55 | __main__                       | INFO   | RSS [ber_vs_snr iod_peers/conv1d] = 1.11 GB
2026-09-26 12:31:55 | __main__                       | INFO   | Architecture: qkv
2026-09-26 12:31:55 | src.experiments.pipeline       | INFO   | build_model 'qkv': model seed applied = 15 (from model.seeds.qkv, dataset seed stays 42)
2026-09-26 12:31:55 | src.models.heads               | INFO   | communication_head built: input_dim=64, units=128, M=2, params=8578
2026-09-26 12:31:55 | src.models.heads               | INFO   | sensing_head built: input_dim=228, units=32, output_units=2, params=7394
2026-09-26 12:31:56 | src.models.ultra_can_qkv       | INFO   | model 'dual_head_ultra_can_qkv' built: comm=8578 params, sensing=7394 params, TOTAL=43204 params, lambda_mse=2
2026-09-26 12:31:56 | src.experiments.pipeline       | INFO   | Model 'dual_head_ultra_can_qkv' built: 43204 trainable parameters.
2026-09-26 12:31:56 | src.experiments.pipeline       | INFO   | Training for 2 epochs, lambda_mse=2.0000
2026-09-26 12:31:56 | src.training.trainer           | INFO   | Sensing component weights: delay=1.000, f_doppler=1.000
2026-09-26 12:31:56 | src.training.trainer           | INFO   | Trainer initialized: lambda_mse = 2.0
2026-09-26 12:31:56 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0, sensing_component_weights=[1.0, 1.0]
2026-09-26 12:31:57 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-26 12:31:57 | src.training.trainer           | INFO   | Starting training: epochs=2, batch_size=32
2026-09-26 12:32:01 | src.training.trainer           | INFO   | History saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/logs/history.csv
2026-09-26 12:32:01 | src.training.trainer           | INFO   | Metadata saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/logs/run_metadata.json
2026-09-26 12:32:01 | src.training.trainer           | INFO   | Training completed in 2 epochs. Best val_loss = 1.115646, best loss = 1.305534
2026-09-26 12:32:01 | src.training.trainer           | INFO   | Best weights reloaded from results/smoke2/fast/ber_vs_snr/iod_peers/qkv/logs/best_weights.weights.h5 before evaluation/saving
2026-09-26 12:32:01 | src.evaluation.evaluator       | INFO   | Starting evaluation over 3 SNR points
2026-09-26 12:32:01 | src.evaluation.evaluator       | INFO   | Evaluation completed for 3 SNR points
2026-09-26 12:32:01 | src.experiments.pipeline       | INFO   | Metrics saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/metrics.csv
2026-09-26 12:32:02 | src.evaluation.evaluator       | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/plots/ber_vs_snr_dual_head_ultra_can_qkv.pdf
2026-09-26 12:32:02 | src.experiments.pipeline       | INFO   | BER vs SNR plot saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/plots/ber_vs_snr_dual_head_ultra_can_qkv.pdf
