arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
conv1d,fh_on,model,fixed_partial,partial_band,-10.0,0.00081,0.0008362116956847709,0.000373965239026303,7.704160003853353e-05,0.0015429583999614664,0.0002,0.00225,0.00021,0.00065,0.0019399999999999997,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,partial_band,-6.0,0.00678,0.007930999306518693,0.0035468507157758976,0.0,0.013731699661460869,0.00055,0.0201,0.00062,0.006,0.017349999999999997,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,partial_band,-2.0,0.04266,0.03373302165534538,0.015085865901564948,0.01309224615733183,0.07222775384266816,0.0091,0.0884,0.00915,0.05275,0.08146,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,partial_band,2.0,0.09530000000000001,0.033815270219236755,0.01512264857754752,0.06566015343715101,0.12493984656284901,0.05675,0.12425,0.05741,0.1169,0.12311,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,partial_band,6.0,0.12090000000000001,0.005807861052056946,0.0025973544232545547,0.11580927887533528,0.12599072112466475,0.1122,0.12555,0.11329,0.1241,0.12544,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,partial_band,10.0,0.12440999999999999,0.00116961532137707,0.0005230678732248783,0.12338480580700927,0.1254351941929907,0.12255,0.1256,0.12286000000000001,0.1248,0.12547999999999998,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,follower,cw,-10.0,0.0036999999999999997,0.0024220342689565727,0.001083166653844181,0.0015770323692106416,0.005822967630789358,5e-05,0.0061,0.00066,0.00355,0.00602,1.0,0.00011,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,follower,cw,-6.0,0.04904000000000001,0.046233637646198686,0.020676311324798725,0.008515174470256862,0.08956482552974315,0.0005,0.1058,0.004030000000000001,0.0307,0.10265,1.0,0.00011,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,follower,cw,-2.0,0.25534999999999997,0.1822339053249971,0.08149748002239088,0.09561787432534133,0.41508212567465863,0.00225,0.4369,0.03203,0.27425,0.43196,1.0,0.00011,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,follower,cw,2.0,0.39882999999999996,0.21028295698891056,0.09404139726737369,0.2145122483001241,0.5831477516998758,0.0233,0.5009,0.11296000000000002,0.4985,0.50069,1.0,0.00011,100000.0,1,10.0,8,5
