2026-09-24 09:22:17 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=2 jammed=1.000 BER=0.1067 (1 s)
2026-09-24 09:22:19 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=2 jammed=1.000 BER=0.3701 (1 s)
2026-09-24 09:22:20 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=2 jammed=1.000 BER=0.0073 (1 s)
2026-09-24 09:22:22 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=2 jammed=1.000 BER=0.0731 (1 s)
2026-09-24 09:22:23 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=2 jammed=1.000 BER=0.3459 (2 s)
2026-09-24 09:22:25 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=2 jammed=1.000 BER=0.4934 (2 s)
2026-09-24 09:22:27 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=2 jammed=1.000 BER=0.4973 (2 s)
2026-09-24 09:22:29 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=2 jammed=1.000 BER=0.4973 (1 s)
2026-09-24 09:22:32 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=3 jammed=1.000 BER=0.0080 (1 s)
2026-09-24 09:22:33 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=3 jammed=1.000 BER=0.1104 (1 s)
2026-09-24 09:22:35 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=3 jammed=1.000 BER=0.4370 (1 s)
2026-09-24 09:22:37 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=3 jammed=1.000 BER=0.4996 (2 s)
2026-09-24 09:22:39 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=3 jammed=1.000 BER=0.4997 (2 s)
2026-09-24 09:22:41 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=3 jammed=1.000 BER=0.4997 (2 s)
2026-09-24 09:22:42 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=3 jammed=1.000 BER=0.0020 (1 s)
2026-09-24 09:22:44 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=3 jammed=1.000 BER=0.0244 (1 s)
